보고일자,지역,위도,경도,해파리크기,밀집여부
2016-08-04,강원 동해 초암 앞바다,37.485,129.159,10,y
2016-08-04,강원 동해 초암 앞바다,37.485,129.159,50,
2016-08-04,"강원 동해시 묵호 삼척,정동 주변해역",37.534,129.121,10-15,y
2016-08-04,강원 동해시 묵호 앞바다,37.585,129.143,50,y
2016-08-04,강원 동해시 묵호 앞바다,37.585,129.143,30-60,y
2016-08-04,강원 동해안 북부 속초 앞바다,38.199,128.606,20,y
2016-08-04,강원 동해안 북부 속초 앞바다,38.199,128.606,10-20,
2016-08-04,강원 동해안 북부 속초 앞바다,38.205,128.617,25-30,y
2016-08-04,강원 동해안 북부 속초 앞바다,38.205,128.617,20,
2016-08-04,"강원 동해안 속초 앞바다 , 외웅치",38.18,128.624,30,
2016-08-04,강원 삼척 근해,37.334,129.293,,
2016-08-04,강원 삼척 근해,37.459,129.213,,
2016-08-04,강원 고성군 토성면 청간해변 앞바다,38.283,128.575,15,y
2016-08-04,강원 양양 물치 앞바다,38.173,128.609,05-30,y
2016-08-04,강원 양양 물치 앞바다,38.173,128.609,05-20,y
2016-08-04,강원 낙산 앞바다,38.12,128.636,30,
2016-08-04,강원 양양 수산 앞바다,38.138,128.708,,
2016-08-04,강원 양양 동산 앞바다,37.88,128.874,10,
2016-08-04,강원 양양군 수산항-오산항,38.088,128.673,30,
2016-08-04,강원 양양군 기사문리 앞바다,38.017,128.74,30,
2016-08-04,제주 서귀포 성산 일출봉 근해,33.479,126.947,,
2016-08-04,제주 한림읍 귀덕1리 앞바다,33.448,126.292,,
2016-08-04,제주 한림읍 귀덕2리 앞바다,33.41,126.241,50-100,
2016-08-04,제주시 구좌읍 하도리 앞바다,33.574,126.894,10-50,y
2016-08-04,제주 우도면 주변해역,33.522,126.967,50,
2016-08-04,제주 구좌읍 동복리 근해,33.567,126.721,,
2016-08-04,"제주 한경면 일종공동어장내, 신창리 지선",33.349,126.175,40,
2016-08-04,제주 차귀도,33.315,126.145,50,y
2016-08-04,제주 차귀도,33.315,126.145,30,y
2016-08-04,충남 보령시 대천해수욕장 36번 부이앞,36.305266,126.515297,,y
2016-08-04,울산 동구 주전해수욕장,35.566971,129.45665,,
2016-08-04,경북 울진 후포리 더클래식 펜션 앞,36.675856,129.467044,70,
2016-08-04,경북 울진 후포리 더클래식 펜션 앞,36.675856,129.467044,30-40,
2016-08-04,군산 183-6해구,35.766666,125.91666,60-80,y
2016-08-04,군산 183-6해구,35.766667,125.85,40,y
2016-08-04,고창 구시포지선,35.452375,126.433778,05-06,
2016-08-04,군산 신시도 신치항 내,35.829,126.462,12-20,
2016-08-04,군산 신시도 신치항 내,35.829,126.462,50-70,
2016-08-04,부안 도청지선,35.693,126.509,,
2016-08-04,부안 변산 격포항 내,35.622,126.469,,
2016-08-04,군산 비응항 3마일 이내,35.933,126.479,25-30,
2016-08-04,고창군 구시포항 인근해역,35.445,126.428,05-06,
2016-08-04,고창군 동호항 인근해역,35.452375,126.433778,05-06,
2016-08-04,부안군 새만금 내측,35.887,126.528,10,
2016-08-04,부안군 새만금 외측,35.816,126.664,20,
2016-12-08,전북 군산시 나운동 밖 해역,35.989,126.647,,
2016-12-08,전북 군산시 옥도면 야미도 근해,35.862,126.48,,
2016-12-08,전북 고창군 해리면 광승리 근해,35.513,126.469,,
2016-12-08,경남 통영시 욕지도 근해,34.657,128.289,,
2016-12-08,경남거제시 가조도 근해,34.982,128.548,,
2016-12-08,도산 수월리 수월근해 노전밖,34.864,128.364,,
2016-12-08,경남 고성군 하이면 자란만 근해,34.905,128.155,,
2016-12-08,경남 통영시 욕지도 근해,34.611,128.262,,
2016-12-08,경남 통영시 광도면 죽림만,34.87833,128.424,,
2016-12-08,경남 창원시 진해만 일대,35.089,128.677,100,
2016-12-08,경남 창원시 구산면 마산합돌 원전앞바다,35.066,128.633,,
2016-12-08,경남 거제 남부면 탑포리 쌍근지선,34.735,128.557,,
2016-12-08,경남 거제시 일운면 구조라 근해,34.79,128.694,,
2016-12-08,경남 거제시 일운면 구조라 근해,34.986,128.507,80-90,
2016-12-08,경남 거제시 사등면 계도 근해,34.986,128.507,,
2016-12-08,경남 거제시  천곡 앞바다,34.926,128.504,,
2016-12-08,경남 거제시 일운면 구조라항 근해,34.826,128.798,,
2016-12-08,경남 고성군 하이면 근해,34.912,128.097,,
2016-12-08,경남 남해 삼동면 동부(은점),34.7920185,128.0655499,,
2016-12-08,경남 남해 미조면 앞바다,34.706,128.068,,
2016-12-08,경남 남해 미조면 앞바다,34.734,128.062,,
2016-12-08,경남 남해 미조면 앞바다,34.716,128.047,,
2016-12-08,경남 남해 미조 일대,34.733,128.063,,
2016-12-08,"경남 남해 설천면, 금남면 주변해역",34.938,127.836,,
2016-12-08,경남 하동군 남해 대도,34.951,127.905,,
2016-12-08,경남 하동군 남해 대도,34.94,127.836,,
2016-12-08,"부산 태종대 주변해역, 남항주변 해역",35.053,129.096,,
2016-12-08,부산광역시 남구 오륙도-해운대,35.098,129.125,,
2016-12-08,울산 남구 장생포 근처해역 울기등대앞,35.498,129.39,,
2016-12-08,울산 동구 주전 앞바다,35.52,129.455,,
2016-12-08,울산 동구 방어진,35.482,129.43,,
2016-12-08,울산 동구 화암 앞바다,35.467,129.411,,
2016-12-08,울산 북구 당사동 당사 앞바다,35.593,129.468,,
2016-12-08,울산 동구 주전 앞바다,35.563,129.468,,
2016-12-08,"포항 남구 호미곶, 강사 근처",36.065,129.602,,
2016-12-08,"경북 포항시 감포,호미곶 주변 해역",35.877,129.532,,
2016-12-08,"경북 울진군 울진죽변, 원자력빌전소 앞바다",37.044,129.427,,
2016-12-08,경북 울진 덕신 앞바다,36.942,129.425,,
2016-12-08,경북 울진군 후포면 왕돌초 부근,36.658,129.479,,
2016-12-01,인천 연평도 근해,37.634,125.739,,
2016-12-01,인천 남구 송도 LNG기지 앞,37.374,126.616,,
2016-12-01,인천 백령도 연봉바위 근해,37.931,124.732,,
2016-12-01,인천 옹진군 덕적면 백아도 근해,37.077,125.925,,
2016-12-01,경기도 화성 도리도 근해,37.126,126.603,,
2016-12-01,인천 강화도 근해,37.587,126.334,,
2016-12-01,경기 평택 LNG근해,37.016,126.772,,
2016-12-01,충남 서산 삼길포 근해,36.944,126.271,,
2016-12-01,충남 태안군 안도 근해,36.952,126.149,,
2016-12-01,충남 보령시 웅전읍 황죽도 근해,36.207,126.499,,
2016-12-01,충남 태안군 근흥면 가의도리 옹도 근해,36.639,125.998,,
2016-12-01,충남 당진군 현대제철 근해,36.994,126.671,,
2016-12-01,충남 태안군 안면읍 나치도 근해,36.501,126.149,,
2016-12-01,충남 서산시 팔봉면 고파도 근해,36.93,126.322,,
2016-12-01,충남 당진 현대제철 근해,37.008,126.713,,
2016-12-01,"충남 당진군 대난지도, 소난지도 사이",37.043,126.444,,
2016-12-01,충남 태안군 격렬비열도 근해,36.605,125.561,10,
2016-12-01,전북 군산시 십이동파도 근해,35.988,126.25,,
